Key.caps_lock,2.004571124
Key.caps_lock,2.004576333
'A',2.237278949
'A',2.371059306
Key.caps_lock,2.386340387
Key.caps_lock,2.386346709
'k',2.849562358
'k',2.93298679
's',3.213534376
's',3.285487872
'h',3.338487785
'h',3.414586071
'a',3.437323304
'a',3.512980968
'y',3.54650817
'y',3.622553553
Key.space,3.77765057
Key.space,3.837322923
Key.caps_lock,4.219131949
Key.caps_lock,4.219169632
'T',4.438288597
'T',4.550498079
Key.caps_lock,4.65889937
Key.caps_lock,4.658903799
'r',4.881435872
'r',4.953772419
'i',5.027296689
'i',5.083499489
'k',5.208403844
'k',5.256322777
'h',5.396273835
'h',5.46447785
'a',5.531409921
'a',5.60349077
Key.esc,6.119392444
